H	K	L	2THETA	D-VALUE	MULT	INTENSITY
4	2	1	42.18	2.1424	2	0.5
5	0	1	42.22	2.1404	2	6.5
5	0	-1	42.22	2.1404	2	6.5
0	1	-5	42.68	2.1183	2	9.1
0	1	5	42.68	2.1183	2	9.1
3	-2	-3	42.83	2.1113	2	46.6
3	-2	3	42.83	2.1113	2	46.6
3	2	-3	42.83	2.1113	2	46.6
3	2	3	42.83	2.1113	2	46.6
3	-1	-4	42.90	2.1080	2	0.4
3	1	-4	42.90	2.1080	2	0.4
3	-1	4	42.90	2.1080	2	0.4
3	1	4	42.90	2.1080	2	0.4
4	-1	-3	43.07	2.1001	2	72.2
4	1	-3	43.07	2.1001	2	72.2
4	1	3	43.07	2.1001	2	72.2
4	-1	3	43.07	2.1001	2	72.2
1	-1	5	43.52	2.0795	2	0.9
1	1	5	43.52	2.0795	2	0.9
1	1	-5	43.52	2.0795	2	0.9
1	-1	-5	43.52	2.0795	2	0.9
2	3	2	43.94	2.0603	2	13.2
2	3	-2	43.94	2.0603	2	13.2
2	-3	2	43.94	2.0603	2	13.2
2	-3	-2	43.94	2.0603	2	13.2
5	-1	-1	44.09	2.0538	2	1.4
5	1	1	44.09	2.0538	2	1.4
5	-1	1	44.09	2.0538	2	1.4
5	1	-1	44.09	2.0538	2	1.4
2	0	-5	44.15	2.0513	2	16.1
2	0	5	44.15	2.0513	2	16.1
2	-2	4	44.32	2.0436	2	2.5
2	2	-4	44.32	2.0436	2	2.5
2	-2	-4	44.32	2.0436	2	2.5
2	2	4	44.32	2.0436	2	2.5
4	-2	-2	44.61	2.0313	2	1.4
4	-2	2	44.61	2.0313	2	1.4
4	2	2	44.61	2.0313	2	1.4
4	2	-2	44.61	2.0313	2	1.4
5	0	-2	44.65	2.0296	2	0.5
5	0	2	44.65	2.0296	2	0.5
0	3	-3	44.65	2.0296	2	16.0
0	3	3	44.65	2.0296	2	16.0
1	3	3	45.45	1.9954	2	33.6
1	-3	-3	45.45	1.9954	2	33.6
1	3	-3	45.45	1.9954	2	33.6
1	-3	3	45.45	1.9954	2	33.6
3	-3	1	45.64	1.9877	2	9.3
3	3	-1	45.64	1.9877	2	9.3
3	3	1	45.64	1.9877	2	9.3
3	-3	-1	45.64	1.9877	2	9.3
2	1	-5	45.96	1.9746	2	3.7
2	1	5	45.96	1.9746	2	3.7
2	-1	5	45.96	1.9746	2	3.7
2	-1	-5	45.96	1.9746	2	3.7
5	-1	2	46.44	1.9553	2	0.1
5	1	2	46.44	1.9553	2	0.1
5	-1	-2	46.44	1.9553	2	0.1
5	1	-2	46.44	1.9553	2	0.1
4	0	4	46.77	1.9424	2	3.3
4	0	-4	46.77	1.9424	2	3.3
2	-3	-3	47.82	1.9022	2	0.4
2	-3	3	47.82	1.9022	2	0.4
2	3	-3	47.82	1.9022	2	0.4
2	3	3	47.82	1.9022	2	0.4
3	3	2	47.93	1.8980	2	0.4
3	3	-2	47.93	1.8980	2	0.4
3	-3	2	47.93	1.8980	2	0.4
3	-3	-2	47.93	1.8980	2	0.4
3	0	5	48.12	1.8909	2	13.8
3	0	-5	48.12	1.8909	2	13.8
3	2	-4	48.28	1.8849	2	136.0
3	-2	-4	48.28	1.8849	2	136.0
3	2	4	48.28	1.8849	2	136.0
3	-2	4	48.28	1.8849	2	136.0
4	2	-3	48.44	1.8792	2	1.0
4	-2	-3	48.44	1.8792	2	1.0
4	-2	3	48.44	1.8792	2	1.0
4	2	3	48.44	1.8792	2	1.0
5	0	3	48.47	1.8779	2	4.3
5	0	-3	48.47	1.8779	2	4.3
4	1	-4	48.50	1.8769	2	1.9
4	-1	4	48.50	1.8769	2	1.9
4	-1	-4	48.50	1.8769	2	1.9
4	1	4	48.50	1.8769	2	1.9
1	2	-5	48.85	1.8644	2	33.6
1	-2	5	48.85	1.8644	2	33.6
1	2	5	48.85	1.8644	2	33.6
1	-2	-5	48.85	1.8644	2	33.6
5	-2	-1	49.37	1.8458	2	49.5
5	-2	1	49.37	1.8458	2	49.5
5	2	1	49.37	1.8458	2	49.5
5	2	-1	49.37	1.8458	2	49.5
0	0	6	49.40	1.8448	2	0.0
3	1	-5	49.82	1.8303	2	60.9
3	-1	5	49.82	1.8303	2	60.9
3	-1	-5	49.82	1.8303	2	60.9
3	1	5	49.82	1.8303	2	60.9
0	4	0	50.04	1.8227	2	502.7
1	0	-6	50.15	1.8190	2	0.0
1	0	6	50.15	1.8190	2	0.0
5	-1	3	50.16	1.8185	2	3.7
5	1	3	50.16	1.8185	2	3.7
5	-1	-3	50.16	1.8185	2	3.7
5	1	-3	50.16	1.8185	2	3.7
6	0	0	50.18	1.8180	2	25.5
4	3	0	50.29	1.8144	2	19.5
4	-3	0	50.29	1.8144	2	19.5
1	-3	4	50.69	1.8010	2	3.0
1	3	4	50.69	1.8010	2	3.0
1	3	-4	50.69	1.8010	2	3.0
1	-3	-4	50.69	1.8010	2	3.0
6	0	-1	50.90	1.7940	2	31.9
6	0	1	50.90	1.7940	2	31.9
4	-3	-1	51.01	1.7905	2	28.9
4	3	-1	51.01	1.7905	2	28.9
4	3	1	51.01	1.7905	2	28.9
4	-3	1	51.01	1.7905	2	28.9
2	2	-5	51.09	1.7877	2	4.3
2	-2	5	51.09	1.7877	2	4.3
2	2	5	51.09	1.7877	2	4.3
2	-2	-5	51.09	1.7877	2	4.3
1	-4	1	51.50	1.7746	2	0.3
1	4	-1	51.50	1.7746	2	0.3
1	4	1	51.50	1.7746	2	0.3
1	-4	-1	51.50	1.7746	2	0.3
5	-2	-2	51.54	1.7733	2	5.1
5	2	2	51.54	1.7733	2	5.1
5	2	-2	51.54	1.7733	2	5.1
5	-2	2	51.54	1.7733	2	5.1
3	-3	3	51.57	1.7722	2	18.8
3	3	3	51.57	1.7722	2	18.8
3	-3	-3	51.57	1.7722	2	18.8
3	3	-3	51.57	1.7722	2	18.8
1	-1	6	51.80	1.7649	2	8.5
1	1	-6	51.80	1.7649	2	8.5
1	1	6	51.80	1.7649	2	8.5
1	-1	-6	51.80	1.7649	2	8.5
6	1	0	51.83	1.7640	2	122.5
6	-1	0	51.83	1.7640	2	122.5
2	0	6	52.35	1.7476	2	6.6
2	0	-6	52.35	1.7476	2	6.6
6	1	-1	52.53	1.7420	2	29.2
6	-1	1	52.53	1.7420	2	29.2
6	-1	-1	52.53	1.7420	2	29.2
6	1	1	52.53	1.7420	2	29.2
2	3	4	52.87	1.7316	2	0.4
2	-3	-4	52.87	1.7316	2	0.4
2	3	-4	52.87	1.7316	2	0.4
2	-3	4	52.87	1.7316	2	0.4
0	4	2	52.88	1.7313	2	13.3
0	4	-2	52.88	1.7313	2	13.3
2	4	0	52.97	1.7288	2	0.1
2	-4	0	52.97	1.7288	2	0.1
6	0	2	53.02	1.7272	2	13.5
6	0	-2	53.02	1.7272	2	13.5
4	-3	-2	53.12	1.7241	2	4.6
4	-3	2	53.12	1.7241	2	4.6
4	3	-2	53.12	1.7241	2	4.6
4	3	2	53.12	1.7241	2	4.6
4	0	-5	53.30	1.7187	2	0.1
4	0	5	53.30	1.7187	2	0.1
4	2	4	53.45	1.7142	2	3.2
4	2	-4	53.45	1.7142	2	3.2
4	-2	4	53.45	1.7142	2	3.2
4	-2	-4	53.45	1.7142	2	3.2
5	0	4	53.48	1.7132	2	20.5
5	0	-4	53.48	1.7132	2	20.5
1	4	-2	53.60	1.7099	2	0.8
1	-4	2	53.60	1.7099	2	0.8
1	4	2	53.60	1.7099	2	0.8
1	-4	-2	53.60	1.7099	2	0.8
2	-4	-1	53.66	1.7081	2	2.3
2	-4	1	53.66	1.7081	2	2.3
2	4	-1	53.66	1.7081	2	2.3
2	4	1	53.66	1.7081	2	2.3
2	1	6	53.95	1.6994	2	15.8
2	1	-6	53.95	1.6994	2	15.8
2	-1	6	53.95	1.6994	2	15.8
2	-1	-6	53.95	1.6994	2	15.8
6	-1	-2	54.60	1.6807	2	2.0
6	1	2	54.60	1.6807	2	2.0
6	-1	2	54.60	1.6807	2	2.0
6	1	-2	54.60	1.6807	2	2.0
3	2	-5	54.68	1.6785	2	51.3
3	-2	-5	54.68	1.6785	2	51.3
3	-2	5	54.68	1.6785	2	51.3
3	2	5	54.68	1.6785	2	51.3
4	1	5	54.88	1.6729	2	0.0
4	-1	5	54.88	1.6729	2	0.0
4	-1	-5	54.88	1.6729	2	0.0
4	1	-5	54.88	1.6729	2	0.0
5	2	3	55.00	1.6694	2	69.4
5	-2	-3	55.00	1.6694	2	69.4
5	2	-3	55.00	1.6694	2	69.4
5	-2	3	55.00	1.6694	2	69.4
5	-1	-4	55.06	1.6678	2	0.1
5	-1	4	55.06	1.6678	2	0.1
5	1	-4	55.06	1.6678	2	0.1
5	1	4	55.06	1.6678	2	0.1
2	4	-2	55.70	1.6501	2	2.9
2	-4	2	55.70	1.6501	2	2.9
2	-4	-2	55.70	1.6501	2	2.9
2	4	2	55.70	1.6501	2	2.9
0	2	6	55.85	1.6461	2	64.3
0	2	-6	55.85	1.6461	2	64.3
3	0	-6	55.88	1.6452	2	0.0
3	0	6	55.88	1.6452	2	0.0
0	3	-5	56.20	1.6366	2	7.0
0	3	5	56.20	1.6366	2	7.0
3	-3	4	56.38	1.6318	2	0.1
3	3	-4	56.38	1.6318	2	0.1
3	-3	-4	56.38	1.6318	2	0.1
3	3	4	56.38	1.6318	2	0.1
6	0	3	56.42	1.6308	2	4.1
6	0	-3	56.42	1.6308	2	4.1
4	3	3	56.52	1.6282	2	22.3
4	3	-3	56.52	1.6282	2	22.3
4	-3	-3	56.52	1.6282	2	22.3
4	-3	3	56.52	1.6282	2	22.3
1	2	-6	56.54	1.6276	2	17.2
1	2	6	56.54	1.6276	2	17.2
1	-2	6	56.54	1.6276	2	17.2
1	-2	-6	56.54	1.6276	2	17.2
6	-2	0	56.57	1.6269	2	6.8
6	2	0	56.57	1.6269	2	6.8
1	-3	5	56.89	1.6185	2	3.0
1	3	-5	56.89	1.6185	2	3.0
1	-3	-5	56.89	1.6185	2	3.0
1	3	5	56.89	1.6185	2	3.0
1	-4	-3	56.98	1.6162	2	0.4
1	-4	3	56.98	1.6162	2	0.4
1	4	3	56.98	1.6162	2	0.4
1	4	-3	56.98	1.6162	2	0.4
3	-4	-1	57.14	1.6121	2	17.0
3	4	-1	57.14	1.6121	2	17.0
3	4	1	57.14	1.6121	2	17.0
3	-4	1	57.14	1.6121	2	17.0
6	2	-1	57.23	1.6096	2	6.0
6	-2	-1	57.23	1.6096	2	6.0
6	2	1	57.23	1.6096	2	6.0
6	-2	1	57.23	1.6096	2	6.0
5	-3	1	57.36	1.6063	2	0.3
5	-3	-1	57.36	1.6063	2	0.3
5	3	-1	57.36	1.6063	2	0.3
5	3	1	57.36	1.6063	2	0.3
3	1	6	57.42	1.6048	2	8.7
3	-1	6	57.42	1.6048	2	8.7
3	-1	-6	57.42	1.6048	2	8.7
3	1	-6	57.42	1.6048	2	8.7
6	1	3	57.95	1.5915	2	12.2
6	-1	-3	57.95	1.5915	2	12.2
6	1	-3	57.95	1.5915	2	12.2
6	-1	3	57.95	1.5915	2	12.2
2	-2	6	58.58	1.5759	2	0.2
2	2	6	58.58	1.5759	2	0.2
2	2	-6	58.58	1.5759	2	0.2
2	-2	-6	58.58	1.5759	2	0.2
2	-3	5	58.92	1.5675	2	2.0
2	3	-5	58.92	1.5675	2	2.0
2	-3	-5	58.92	1.5675	2	2.0
2	3	5	58.92	1.5675	2	2.0
2	4	3	59.00	1.5654	2	37.8
2	-4	-3	59.00	1.5654	2	37.8
2	4	-3	59.00	1.5654	2	37.8
2	-4	3	59.00	1.5654	2	37.8
1	0	-7	59.02	1.5649	2	0.3
1	0	7	59.02	1.5649	2	0.3
3	-4	-2	59.10	1.5631	2	45.6
3	-4	2	59.10	1.5631	2	45.6
3	4	2	59.10	1.5631	2	45.6
3	4	-2	59.10	1.5631	2	45.6
6	-2	2	59.19	1.5609	2	1.5
6	-2	-2	59.19	1.5609	2	1.5
6	2	2	59.19	1.5609	2	1.5
6	2	-2	59.19	1.5609	2	1.5
5	-3	2	59.32	1.5578	2	1.1
5	-3	-2	59.32	1.5578	2	1.1
5	3	-2	59.32	1.5578	2	1.1
5	3	2	59.32	1.5578	2	1.1
4	-2	-5	59.46	1.5546	2	2.5
4	-2	5	59.46	1.5546	2	2.5
4	2	5	59.46	1.5546	2	2.5
4	2	-5	59.46	1.5546	2	2.5
5	0	-5	59.49	1.5539	2	12.2
5	0	5	59.49	1.5539	2	12.2
5	-2	4	59.63	1.5505	2	3.8
5	-2	-4	59.63	1.5505	2	3.8
5	2	-4	59.63	1.5505	2	3.8
5	2	4	59.63	1.5505	2	3.8
0	1	-7	59.85	1.5454	2	15.4
0	1	7	59.85	1.5454	2	15.4
7	0	-1	59.95	1.5431	2	0.0
7	0	1	59.95	1.5431	2	0.0
